===== BERTS Scores (documents) =====
      precision  recall     f1
2849      0.338   0.515  0.420
2850      0.468   0.665  0.559
2851      0.283   0.503  0.381
2852      0.311   0.541  0.414
2853      0.441   0.669  0.544
2854      0.253   0.530  0.373
2855      0.305   0.602  0.433
2856      0.429   0.657  0.532
2857      0.485   0.619  0.549
2858      0.394   0.631  0.500
2859      0.326   0.590  0.442
2860      0.293   0.573  0.415
2861      0.310   0.556  0.419
2862      0.304   0.593  0.429
2863      0.369   0.595  0.471
2864      0.405   0.621  0.503
2865      0.291   0.582  0.416
2866      0.449   0.734  0.575
2867      0.445   0.667  0.546
2868      0.364   0.599  0.469
2869      0.304   0.574  0.422
2870      0.384   0.591  0.479
2871      0.319   0.648  0.459
2872      0.464   0.716  0.577
2873      0.376   0.560  0.461
2874      0.460   0.686  0.562
2875      0.318   0.574  0.431
2876      0.376   0.655  0.498
2877      0.300   0.557  0.413
2878      0.301   0.603  0.430
2879      0.304   0.521  0.402
2880      0.255   0.570  0.388
2881      0.418   0.624  0.512
2882      0.450   0.662  0.547
2883      0.386   0.626  0.494
2884      0.340   0.597  0.454
2885      0.256   0.506  0.366
2886      0.328   0.576  0.438
2887      0.449   0.667  0.549
2888      0.453   0.671  0.552
2889      0.348   0.581  0.452
2890      0.376   0.609  0.481
2891      0.418   0.618  0.510
2892      0.344   0.623  0.466
2893      0.470   0.625  0.543
2894      0.286   0.545  0.399
2895      0.350   0.573  0.450
2896      0.381   0.598  0.479
2897      0.401   0.617  0.499
2898      0.409   0.605  0.499
2899      0.396   0.592  0.486
2900      0.616   0.619  0.619
2901      0.318   0.564  0.427
2902      0.401   0.552  0.472
2903      0.314   0.564  0.425
2904      0.475   0.704  0.579
2905      0.377   0.594  0.475
2906      0.331   0.570  0.438
2907      0.376   0.626  0.487
2908      0.338   0.597  0.452
2909      0.352   0.457  0.403
2910      0.347   0.606  0.461
2911      0.388   0.653  0.506
2912      0.384   0.664  0.507
2913      0.334   0.616  0.457
2914      0.363   0.665  0.494
2915      0.379   0.625  0.489
2916      0.289   0.553  0.405
2917      0.311   0.494  0.395
2918      0.393   0.603  0.489
2919      0.438   0.680  0.547
2920      0.375   0.611  0.481
2921      0.466   0.616  0.537
2922      0.451   0.675  0.552
2923      0.382   0.666  0.506
2924      0.492   0.620  0.553
2925      0.386   0.569  0.470
2926      0.266   0.513  0.375
2927      0.355   0.608  0.467
2928      0.364   0.615  0.476
2929      0.341   0.658  0.477
2930      0.393   0.660  0.511
2931      0.370   0.616  0.480
2932      0.259   0.491  0.362
2933      0.402   0.630  0.505
2934      0.280   0.610  0.419
2935      0.459   0.685  0.562
2936      0.354   0.636  0.477
2937      0.369   0.625  0.483
2938      0.373   0.606  0.477
2939      0.252   0.545  0.378
2940      0.409   0.601  0.497
2941      0.292   0.577  0.415
2942      0.447   0.658  0.544
2943      0.379   0.644  0.496
2944      0.323   0.553  0.426
2945      0.391   0.600  0.486
2946      0.269   0.579  0.401
2947      0.347   0.651  0.478
2948      0.315   0.629  0.449
2949      0.328   0.597  0.446
2950      0.277   0.578  0.405
2951      0.347   0.572  0.448
2952      0.462   0.696  0.568
2953      0.382   0.627  0.491
2954      0.338   0.515  0.420
2955      0.318   0.555  0.424
2956      0.377   0.543  0.454
2957      0.336   0.560  0.437
2958      0.296   0.503  0.390
2959      0.301   0.576  0.421
2960      0.324   0.601  0.445
2961      0.231   0.495  0.346
2962      0.271   0.548  0.391
2963      0.466   0.659  0.555
2964      0.489   0.690  0.582
2965      0.297   0.536  0.403
2966      0.500   0.676  0.582
2967      0.264   0.528  0.379
2968      0.319   0.577  0.433
2969      0.387   0.634  0.498
2970      0.299   0.613  0.433
2971      0.267   0.534  0.383
2972      0.292   0.608  0.427
2973      0.314   0.534  0.413
2974      0.357   0.590  0.461
2975      0.404   0.600  0.494
2976      0.414   0.601  0.500
2977      0.404   0.610  0.498
2978      0.325   0.563  0.431
2979      0.352   0.609  0.465
2980      0.370   0.639  0.489
2981      0.396   0.613  0.494
2982      0.488   0.650  0.564
2983      0.370   0.621  0.482
2984      0.418   0.660  0.527
2985      0.390   0.585  0.480
2986      0.352   0.508  0.425
2987      0.364   0.581  0.462
2988      0.326   0.548  0.426
2989      0.453   0.658  0.547
2990      0.377   0.543  0.455
2991      0.332   0.599  0.449
2992      0.282   0.569  0.406
2993      0.353   0.570  0.451
2994      0.387   0.664  0.509
2995      0.427   0.704  0.550
2996      0.425   0.634  0.520
2997      0.289   0.568  0.410
2998      0.363   0.620  0.477
2999      0.396   0.649  0.509
3000      0.400   0.655  0.513

===== Average Precision =====
0.37

===== Average Recall =====
0.607

===== Average F1 =====
0.476
